"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7250","TC_004 - Login with incorrect uppercase username","firefox","Tue Feb 11 12:14:30 IST 2025","passed","Tue Feb 11 12:14:37 IST 2025","","LoginTests.spec.js","",""
"","5563","TC_007 - Login with invalid username and password","firefox","Tue Feb 11 12:14:29 IST 2025","passed","Tue Feb 11 12:14:35 IST 2025","","LoginTests.spec.js","",""
"","13466","TC_010 - Login without agreeing to terms","webkit","Tue Feb 11 12:14:53 IST 2025","failed","Tue Feb 11 12:15:07 IST 2025","","LoginTests.spec.js","",""
"","12520","TC_010 - Login without agreeing to terms","firefox","Tue Feb 11 12:14:34 IST 2025","failed","Tue Feb 11 12:14:46 IST 2025","","LoginTests.spec.js","",""
"","8507","TC_009 - Login with user role","firefox","Tue Feb 11 12:14:34 IST 2025","passed","Tue Feb 11 12:14:42 IST 2025","","LoginTests.spec.js","",""
"","5549","TC_006 - Login with incorrect password","firefox","Tue Feb 11 12:14:28 IST 2025","passed","Tue Feb 11 12:14:34 IST 2025","","LoginTests.spec.js","",""
"","3286","TC_003 - Login with empty username","webkit","Tue Feb 11 12:14:44 IST 2025","passed","Tue Feb 11 12:14:47 IST 2025","","LoginTests.spec.js","",""
"","4514","TC_006 - Login with incorrect password","chromium","Tue Feb 11 12:54:38 IST 2025","passed","Tue Feb 11 12:54:43 IST 2025","","LoginTests.spec.js","",""
"","1508","TC_005 - Login with empty password","chromium","Tue Feb 11 12:54:37 IST 2025","passed","Tue Feb 11 12:54:38 IST 2025","","LoginTests.spec.js","",""
"","6072","TC_002 - Login with invalid username","webkit","Tue Feb 11 12:14:40 IST 2025","passed","Tue Feb 11 12:14:46 IST 2025","","LoginTests.spec.js","",""
"","9031","TC_004 - Login with incorrect uppercase username","chromium","Tue Feb 11 12:54:30 IST 2025","passed","Tue Feb 11 12:54:39 IST 2025","","LoginTests.spec.js","",""
"","7563","TC_009 - Login with user role","chromium","Tue Feb 11 12:54:41 IST 2025","passed","Tue Feb 11 12:54:48 IST 2025","","LoginTests.spec.js","",""
"","1619","TC_008 - Login without entering any credentials","chromium","Tue Feb 11 12:54:40 IST 2025","passed","Tue Feb 11 12:54:41 IST 2025","","LoginTests.spec.js","",""
"","5942","TC_007 - Login with invalid username and password","webkit","Tue Feb 11 12:14:47 IST 2025","passed","Tue Feb 11 12:14:53 IST 2025","","LoginTests.spec.js","",""
"","8708","TC_001 - Successful login with valid credentials","firefox","Tue Feb 11 12:14:19 IST 2025","passed","Tue Feb 11 12:14:27 IST 2025","","LoginTests.spec.js","",""
"","6802","TC_002 - Login with invalid username","firefox","Tue Feb 11 12:14:20 IST 2025","passed","Tue Feb 11 12:14:27 IST 2025","","LoginTests.spec.js","",""
"","6156","TC_003 - Login with empty username","chromium","Tue Feb 11 12:54:30 IST 2025","passed","Tue Feb 11 12:54:37 IST 2025","","LoginTests.spec.js","",""
"","4562","TC_007 - Login with invalid username and password","chromium","Tue Feb 11 12:54:40 IST 2025","passed","Tue Feb 11 12:54:44 IST 2025","","LoginTests.spec.js","",""
"","2922","TC_005 - Login with empty password","firefox","Tue Feb 11 12:14:28 IST 2025","passed","Tue Feb 11 12:14:31 IST 2025","","LoginTests.spec.js","",""
"","3472","TC_003 - Login with empty username","firefox","Tue Feb 11 12:14:24 IST 2025","passed","Tue Feb 11 12:14:28 IST 2025","","LoginTests.spec.js","",""
"","9039","TC_002 - Login with invalid username","chromium","Tue Feb 11 12:54:30 IST 2025","passed","Tue Feb 11 12:54:40 IST 2025","","LoginTests.spec.js","",""
"","10052","TC_001 - Successful login with valid credentials","chromium","Tue Feb 11 12:54:30 IST 2025","passed","Tue Feb 11 12:54:41 IST 2025","","LoginTests.spec.js","",""
"","3806","TC_005 - Login with empty password","webkit","Tue Feb 11 12:14:46 IST 2025","passed","Tue Feb 11 12:14:49 IST 2025","","LoginTests.spec.js","",""
"","6236","TC_006 - Login with incorrect password","webkit","Tue Feb 11 12:14:48 IST 2025","passed","Tue Feb 11 12:14:54 IST 2025","","LoginTests.spec.js","",""
"","4058","TC_008 - Login without entering any credentials","webkit","Tue Feb 11 12:14:49 IST 2025","passed","Tue Feb 11 12:14:54 IST 2025","","LoginTests.spec.js","",""
"","5955","TC_004 - Login with incorrect uppercase username","webkit","Tue Feb 11 12:14:46 IST 2025","passed","Tue Feb 11 12:14:52 IST 2025","","LoginTests.spec.js","",""
"","11630","TC_010 - Login without agreeing to terms","chromium","Tue Feb 11 12:54:41 IST 2025","failed","Tue Feb 11 12:54:53 IST 2025","","LoginTests.spec.js","",""
"","9985","TC_009 - Login with user role","webkit","Tue Feb 11 12:14:52 IST 2025","passed","Tue Feb 11 12:15:02 IST 2025","","LoginTests.spec.js","",""
"","2686","TC_008 - Login without entering any credentials","firefox","Tue Feb 11 12:14:31 IST 2025","passed","Tue Feb 11 12:14:34 IST 2025","","LoginTests.spec.js","",""
"","8617","TC_001 - Successful login with valid credentials","webkit","Tue Feb 11 12:14:37 IST 2025","passed","Tue Feb 11 12:14:45 IST 2025","","LoginTests.spec.js","",""
